,"Код
Инструмента","Наименование
Инструмента","Базис
поставки","Объем
Договоров
в единицах
измерения","Обьем
Договоров,
руб.","Изменение рыночной
цены к цене
предыдуего дня",Col6,"Цена (за единицу измерения), руб.",Col8,Col9,Col10,"Цена в Заявках (за единицу
измерения)",Col12,"Количество
Договоров,
шт."
0,,,,,,Руб.,%,Минимальная,Средневзвешенная,Максимальная,Рыночная,"Лучшее
предложение","Лучший
спрос",
1,AIE6SCI005A,"Бензин (АИ-95-К5) Евро 6, НБ Адлерская (самовывоз
автотранспортом)",НБ Адлерская,5,409920,976,"1,19",81984,81984,81984,81984,81984,81984,1
2,AIE6TIC005A,"Бензин (АИ-95-К5) Евро 6, НБ Тихорецкая (самовывоз
автотранспортом)",НБ Тихорецкая,-,-,-,-,-,-,-,-,81984,-,-
3,A001BDK060C,"Бензин (АИ-100-К5), БП Владикавказ (ст. назначения)",БП Владикавказ,-,-,-,-,-,-,-,-,-,10000,-
4,A001BND060C,"Бензин (АИ-100-К5), БП Краснодар (ст. назначения)",БП Краснодар,-,-,-,-,-,-,-,-,-,10000,-
5,A001CUU025A,"Бензин (АИ-100-К5), НБ Чулман-транс (самовывоз
автотранспортом)",НБ Чулман-транс,-,-,-,-,-,-,-,-,-,10000,-
6,A001KRU060F,"Бензин (АИ-100-К5), ст. Круглое Поле (ст. отправления)",ст. Круглое Поле,-,-,-,-,-,-,-,-,-,10000,-
7,A001OOV060C,"Бензин (АИ-100-К5), БП Ростов 1 (ст. назначения)",БП Ростов 1,-,-,-,-,-,-,-,-,-,10200,-
8,A10KZLY060W,"Бензин (АИ-100-К5)-Евро, ст. Злынка-Экспорт (промежуточная
станция)",ст. Злынка-Экспорт,-,-,-,-,-,-,-,-,96500,90000,-
9,A100ANK060F,"Бензин (АИ-100-К5), Ангарск-группа станций (ст. отправления)","Ангарск-группа
станций",-,-,-,-,-,-,-,104000,-,-,-
10,A100NFT005A,"Бензин (АИ-100-К5), НБ Ростовская (самовывоз
автотранспортом)",НБ Ростовская,-,-,-,-,-,-,-,-,115700,-,-
11,A100SCI005A,"Бензин (АИ-100-К5), НБ Адлерская (самовывоз
автотранспортом)",НБ Адлерская,5,559980,-,-,111996,111996,111996,111996,111996,111996,1
12,A100UFM060F,"Бензин (АИ-100-К5), Уфа-группа станций (ст. отправления)",Уфа-группа станций,-,-,-,-,-,-,-,90500,-,90953,-
13,A106PDK060F,"Бензин (АИ-100-К5) EURO-6, Предкомбинатская-группа
станций (ст. отправления)","Предкомбинатская-
группа станций",-,-,-,-,-,-,-,-,-,93000,-
14,A692ABS005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Абаканская (самовывоз автотранспортом)",НБ Абаканская,-,-,-,-,-,-,-,-,69000,-,-
15,A692ACH005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Ачинский НПЗ (самовывоз автотранспортом)",Ачинский НПЗ,-,-,-,-,-,-,-,-,67000,65000,-
16,A692ALL060J,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ст.
Аллагуват (ст. отправления ОТП)",ст. Аллагуват,4020,260190060,28,"0,04",64702,64724,64730,64724,64702,64730,59
17,A692ANK060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023),
Ангарск-группа станций (ст. отправления)","Ангарск-группа
станций",2160,138544080,23,"0,04",64124,64141,64147,64141,64123,64147,20
18,A692ASO005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, АСН
Сургутский ЗСК (самовывоз автотранспортом)",АСН Сургутский ЗСК,30,1950000,-,-,65000,65000,65000,65000,65000,65000,1
19,A692AVM005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, СН
КНПЗ (самовывоз автотранспортом)",СН КНПЗ,-,-,-,-,-,-,-,78500,77000,-,-
20,A692BIN060J,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Биклянь (ст. отправления ОТП)",ст. Биклянь,-,-,-,-,-,-,-,62966,-,62972,-
21,A692BTC060J,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, БП
(б.т.ц.) Осенцы (ст. отправления ОТП)",БП (б.т.ц.) Осенцы,720,45926520,19,"0,03",63774,63787,63792,63787,63774,63793,12
22,A692BUH010A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Бузулукская (самовывоз автотранспортом)",НБ Бузулукская,-,-,-,-,-,-,-,71000,-,-,-
23,A692CIL060F,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ст.
Цильна (ст. отправления)",ст. Цильна,-,-,-,-,-,-,-,-,-,65500,-
24,A692CIY005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Цимлянская (самовывоз автотранспортом)",НБ Цимлянская,-,-,-,-,-,-,-,-,77000,-,-
25,A692DZM060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Дземги (ст. отправления)",ст. Дземги,600,42914400,19,"0,03",71512,71524,71530,71524,71500,71531,9
26,A692FIA005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, Усть-
Кутский цех (самовывоз автотранспортом)",Усть-Кутский цех,-,-,-,-,-,-,-,-,75000,-,-
27,A692FME025A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Ростовская, Фирма Леонтий (самовывоз автотранспортом)","НБ Ростовская,
Фирма Леонтий",-,-,-,-,-,-,-,-,76000,-,-
28,A692INF025A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Информат (самовывоз автотранспортом)",НБ Информат,-,-,-,-,-,-,-,-,65300,-,-
29,A692KDK005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Краснодарская (самовывоз автотранспортом)",НБ Краснодарская,-,-,-,-,-,-,-,-,78202,-,-
30,A692KDM005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Кудьминская (самовывоз автотранспортом)",НБ Кудьминская,25,1725000,-,-,69000,69000,69000,69000,69000,69000,1
31,A692KGY005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Когалым (самовывоз автотранспортом)",НБ Когалым,15,1120950,-,-,74730,74730,74730,74730,74730,74730,1
32,A692KLT005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Култукский цех (самовывоз автотранспортом)",Култукский цех,-,-,-,-,-,-,-,-,73101,-,-
33,A692KOB060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Комбинатская (ст. отправления)",ст. Комбинатская,1380,85022640,19,"0,03",61598,61611,61616,61611,61597,61617,18
34,A692KOB060J,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Комбинатская (ст. отправления ОТП)",ст. Комбинатская,-,-,-,-,-,-,-,-,-,61701,-
35,A692LHI005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Лиховская (самовывоз автотранспортом)",НБ Лиховская,-,-,-,-,-,-,-,-,77000,-,-
36,A692LTN025A,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), НБ
Латная (самовывоз автотранспортом)",НБ Латная,-,-,-,-,-,-,-,-,73500,-,-
37,A692LUL060J,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023),
Волгоград-группа станций (ст. отправления ОТП)","Волгоград-группа
станций",900,60844800,23,"0,03",67589,67605,67612,67605,67582,67612,15
38,A692LUP060J,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023),
Пермь (ст. отправления ОТП)",Пермь,-,-,-,-,-,-,-,-,-,63700,-
39,A692MEO005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Мегион-150 БП (самовывоз автотранспортом)",Мегион-150 БП,-,-,-,-,-,-,-,-,65500,-,-
40,A692MID005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Минеральные воды (самовывоз автотранспортом)",Минеральные воды,-,-,-,-,-,-,-,75500,-,-,-
41,A692MIE005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Миллеровская (самовывоз автотранспортом)",НБ Миллеровская,-,-,-,-,-,-,-,-,77000,-,-
42,A692MOB005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Московская обл. Северо-Восток БП (самовывоз
автотранспортом)","Московская обл.
Северо-Восток БП",-,-,-,-,-,-,-,70500,70500,70000,-
43,A692NFT005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Ростовская (самовывоз автотранспортом)",НБ Ростовская,-,-,-,-,-,-,-,-,77000,-,-
44,A692NIC005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Нижнеудинский цех (самовывоз автотранспортом)",Нижнеудинский цех,-,-,-,-,-,-,-,-,71300,-,-
45,A692NIL060F,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ст.
Никель (ст. отправления)",ст. Никель,120,7745040,9,"0,01",64539,64542,64545,64542,64539,64548,2
46,A692NOV060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Новая Еловка (ст. отправления)",ст. Новая Еловка,660,42347160,16,"0,02",64152,64162,64167,64162,64151,64168,8
47,A692NOV060J,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ст.
Новая Еловка (ст. отправления ОТП)",ст. Новая Еловка,-,-,-,-,-,-,-,-,-,64168,-
48,A692NRF005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ г.
Наро-Фоминск (самовывоз автотранспортом)",НБ г. Наро-Фоминск,-,-,-,-,-,-,-,-,72700,-,-
49,A692NRT025A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Никифор (самовывоз автотранспортом)",НБ Никифор,-,-,-,-,-,-,-,-,68000,-,-
50,A692NVY060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Новоярославская (ст. отправления)",ст. Новоярославская,540,35326200,20,"0,03",65406,65419,65425,65419,65402,65426,9
51,A692OLN005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Оленегорская (самовывоз автотранспортом)",НБ Оленегорская,-,-,-,-,-,-,-,77550,-,-,-
52,A692OSN060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Осенцы (ст. отправления)",ст. Осенцы,120,7651920,9,"0,01",63763,63766,63769,63766,63754,63772,2
53,A692PDL005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ г.
Подольск (самовывоз автотранспортом)",НБ г. Подольск,-,-,-,-,-,-,-,-,72700,-,-
54,A692PIP005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Приоритет (самовывоз автотранспортом)",НБ Приоритет,50,3575000,500,"0,7",71500,71500,71500,71500,71500,71500,2
55,A692PKA060J,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, ст.
Протока (ст. отправления ОТП)",ст. Протока,360,27000000,-,-,75000,75000,75000,75000,75000,75000,2
56,A692PSE005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Поспелихинская (самовывоз автотранспортом)",НБ Поспелихинская,-,-,-,-,-,-,-,-,70500,-,-
57,A692PUN005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, Пункт
автоналива (ЯНОС) (самовывоз автотранспортом)","Пункт автоналива
(ЯНОС)",-,-,-,-,-,-,-,70350,70300,-,-
58,A692PUP060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Пурпе (ст. отправления)",ст. Пурпе,-,-,-,-,-,-,-,62000,-,-,-
59,A692RFF060C,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, РФ
БП (ст. назначения)",РФ БП,240,15916800,-,-,65800,65800,67180,65800,65800,67180,4
60,A692ROD005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Ростов-на-Дону БП (самовывоз автотранспортом)",Ростов-на-Дону БП,245,18497500,-,-,75500,75500,75500,75500,75500,76000,10
61,A692ROR005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Серпуховская (самовывоз автотранспортом)",НБ Серпуховская,-,-,-,-,-,-,-,-,73000,-,-
62,A692RSN005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Краснодар БП (самовывоз автотранспортом)",Краснодар БП,80,6040000,-,-,75500,75500,75500,75500,75500,75500,4
63,A692RSS025A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Рустранснефть НБ (самовывоз автотранспортом)",Рустранснефть НБ,-,-,-,-,-,-,-,-,76000,-,-
64,A692SAU060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023),
Самара-группа станций (ст. отправления)","Самара-группа
станций",1500,99165120,25,"0,04",66092,66110,66117,66110,66092,66117,21
65,A692SCI005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Адлерская (самовывоз автотранспортом)",НБ Адлерская,5,391010,122,"0,16",78202,78202,78202,78202,78202,78202,1
66,A692SLS005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Сальская (самовывоз автотранспортом)",НБ Сальская,-,-,-,-,-,-,-,-,77000,-,-
67,A692SSI060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023),
Саратов-группа станций (ст. отправления)","Саратов-группа
станций",360,23999220,17,"0,03",66655,66665,66669,66665,66652,66672,6
68,A692STI060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Стенькино II (ст. отправления)",ст. Стенькино II,600,40412640,19,"0,03",67342,67354,67361,67354,67341,67361,7
69,A692SUR060J,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ст.
Сургут (ст. отправления ОТП)",ст. Сургут,2040,124996740,25,"0,04",61254,61273,61279,61273,61254,61279,31
70,A692SVS005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Увекская НБ (самовывоз автотранспортом)",Увекская НБ,25,1787500,-,-,71500,71500,71500,71500,71500,71500,1
71,A692SVZ005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Связь-Петролеум (самовывоз автотранспортом)",НБ Связь-Петролеум,-,-,-,-,-,-,-,-,71500,-,-
72,A692SZE005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Стрежевской НПЗ (самовывоз автотранспортом)",Стрежевской НПЗ,30,1859010,-353,"-0,57",61427,61967,62337,61967,61427,62537,3
73,A692TED025A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Тендер (самовывоз автотранспортом)",НБ Тендер,-,-,-,-,-,-,-,-,76000,-,-
74,A692TNZ005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Транзит-Сервис (самовывоз автотранспортом)",НБ Транзит-Сервис,-,-,-,-,-,-,-,-,71000,-,-
75,A692TPK005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Волганефтьхолдинг (самовывоз автотранспортом)","НБ
Волганефтьхолдинг",-,-,-,-,-,-,-,-,71000,-,-
76,A692TUK005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Тулунский цех (самовывоз автотранспортом)",Тулунский цех,-,-,-,-,-,-,-,-,72700,-,-
77,A692UFM060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), Уфа-
группа станций (ст. отправления)",Уфа-группа станций,720,46323060,18,"0,03",64326,64338,64343,64338,64325,64344,12
78,A692UFS010A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Уфимская НБ (самовывоз автотранспортом)",Уфимская НБ,110,7496500,-150,"-0,22",68150,68150,68150,68150,68150,68150,3
79,A692URF005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ТПП
Урайнефтегаз (самовывоз автотранспортом)",ТПП Урайнефтегаз,10,747300,-,-,74730,74730,74730,74730,74730,74730,1
80,A692URT005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Сургут-25 БП (самовывоз автотранспортом)",Сургут-25 БП,235,15392500,-,-,65500,65500,65500,65500,65500,65500,11
81,A692VAC005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Владикавказ (самовывоз автотранспортом)",НБ Владикавказ,-,-,-,-,-,-,-,75500,-,-,-
82,A692VGZ005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Волгоградская (самовывоз автотранспортом)",НБ Волгоградская,-,-,-,-,-,-,-,-,77000,-,-
83,A692VIK005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Вихоревский цех (самовывоз автотранспортом)",Вихоревский цех,-,-,-,-,-,-,-,-,72200,-,-
84,A692VLA060J,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Ветласян (ст. отправления ОТП)",ст. Ветласян,240,15235800,13,"0,02",63476,63483,63487,63483,63470,63489,4
85,A692VRL005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Воронеж-Липецк БП (самовывоз автотранспортом)",Воронеж-Липецк БП,50,3650000,-,-,73000,73000,73000,73000,73000,73000,1
86,A692YAI060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Яничкино (ст. отправления)",ст. Яничкино,600,40055340,17,"0,03",66749,66759,66764,66759,66749,66766,8
87,A692YAI060J,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Яничкино (ст. отправления ОТП)",ст. Яничкино,-,-,-,-,-,-,-,-,-,66800,-
88,A692ZEL060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Зелецино (ст. отправления)",ст. Зелецино,-,-,-,-,-,-,-,-,-,62000,-
89,A692ZHL005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Жилкинский цех (самовывоз автотранспортом)",Жилкинский цех,-,-,-,-,-,-,-,-,72400,-,-
90,A695ABS005A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Абаканская (самовывоз автотранспортом)",НБ Абаканская,-,-,-,-,-,-,-,-,74300,-,-
91,A695ACH005A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Ачинский НПЗ (самовывоз автотранспортом)",Ачинский НПЗ,-,-,-,-,-,-,-,-,70500,-,-
92,A695ALL060J,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ст.
Аллагуват (ст. отправления ОТП)",ст. Аллагуват,3000,205001160,30,"0,04",68311,68334,68341,68334,68311,68341,36
93,A695ANK060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023),
Ангарск-группа станций (ст. отправления)","Ангарск-группа
станций",540,38235300,19,"0,03",70794,70806,70812,70806,70793,70813,8
94,A695AVM005A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, СН
КНПЗ (самовывоз автотранспортом)",СН КНПЗ,-,-,-,-,-,-,-,-,81200,-,-
95,A695BIN060J,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Биклянь (ст. отправления ОТП)",ст. Биклянь,-,-,-,-,-,-,-,-,71000,70000,-
96,A695BPI060J,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), БП
(б.т.ц.) Войновка (ст. отправления ОТП)",БП (б.т.ц.) Войновка,240,16156260,15,"0,02",67310,67318,67323,67318,67310,67325,4
97,A695BTC060J,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), БП
(б.т.ц.) Осенцы (ст. отправления ОТП)",БП (б.т.ц.) Осенцы,300,20756460,16,"0,02",69179,69188,69194,69188,69179,69195,5
98,A695BUH010A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Бузулукская (самовывоз автотранспортом)",НБ Бузулукская,-,-,-,-,-,-,-,74000,-,-,-
99,A695CIY005A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Цимлянская (самовывоз автотранспортом)",НБ Цимлянская,-,-,-,-,-,-,-,-,80500,-,-
100,A695DZM060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Дземги (ст. отправления)",ст. Дземги,300,23006220,18,"0,02",76677,76687,76694,76687,76675,76695,5
101,A695ENU025A,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023),
Елховский НПЗ (самовывоз автотранспортом)",Елховский НПЗ,50,3750000,-,-,75000,75000,75000,75000,75000,75000,1
102,A695INF025A,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Информат (самовывоз автотранспортом)",НБ Информат,-,-,-,-,-,-,-,-,70650,-,-
103,A695JEF005A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Энгельская (самовывоз автотранспортом)",НБ Энгельская,-,-,-,-,-,-,-,75700,75700,-,-
104,A695KGY005A,"Бензин (АИ-95-К5) по ГОСТ, НБ Когалым (самовывоз
автотранспортом)",НБ Когалым,10,775100,-,-,77510,77510,77510,77510,77510,77510,1
105,A695LHI005A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Лиховская (самовывоз автотранспортом)",НБ Лиховская,-,-,-,-,-,-,-,-,80500,-,-
106,A695LUL060J,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023),
Волгоград-группа станций (ст. отправления ОТП)","Волгоград-группа
станций",360,26136480,17,"0,02",72591,72601,72607,72601,72584,72608,6
107,A695MEO005A,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Мегион-150 БП (самовывоз автотранспортом)",Мегион-150 БП,-,-,-,-,-,-,-,-,70500,-,-
108,A695MID005A,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Минеральные воды (самовывоз автотранспортом)",Минеральные воды,-,-,-,-,-,-,-,79000,-,77500,-
109,A695MIE005A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Миллеровская (самовывоз автотранспортом)",НБ Миллеровская,-,-,-,-,-,-,-,-,80500,-,-
110,A695NFT005A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Ростовская (самовывоз автотранспортом)",НБ Ростовская,-,-,-,-,-,-,-,-,80500,-,-
111,A695NOV060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Новая Еловка (ст. отправления)",ст. Новая Еловка,780,52021080,21,"0,03",66680,66694,66700,66694,66679,66701,11
112,A695NOV060J,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ст.
Новая Еловка (ст. отправления ОТП)",ст. Новая Еловка,-,-,-,-,-,-,-,-,-,66701,-
113,A695NRT025A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Никифор (самовывоз автотранспортом)",НБ Никифор,-,-,-,-,-,-,-,-,73000,-,-
114,A695NVY060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Новоярославская (ст. отправления)",ст. Новоярославская,600,43229400,20,"0,03",72036,72049,72055,72049,72034,72056,8
115,A695OLN005A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Оленегорская (самовывоз автотранспортом)",НБ Оленегорская,-,-,-,-,-,-,-,85050,-,-,-
116,A695ORR010A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Оренбургская (самовывоз автотранспортом)",НБ Оренбургская,-,-,-,-,-,-,-,74100,-,-,-
117,A695PIP005A,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Приоритет (самовывоз автотранспортом)",НБ Приоритет,25,1887500,500,"0,66",75500,75500,75500,75500,75500,75500,1
118,A695PUN005A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, Пункт
автоналива (ЯНОС) (самовывоз автотранспортом)","Пункт автоналива
(ЯНОС)",-,-,-,-,-,-,-,-,-,76000,-
119,A695RFF060C,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, РФ
БП (ст. назначения)",РФ БП,180,12507000,-,-,68950,-,69750,-,68950,69750,2
120,A695ROD005A,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Ростов-на-Дону БП (самовывоз автотранспортом)",Ростов-на-Дону БП,220,17380000,-,-,79000,79000,79000,79000,79000,80000,9
121,A695RSN005A,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Краснодар БП (самовывоз автотранспортом)",Краснодар БП,-,-,-,-,-,-,-,-,-,79000,-
122,A695RSS025A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Рустранснефть НБ (самовывоз автотранспортом)",Рустранснефть НБ,-,-,-,-,-,-,-,-,80000,-,-
123,A695SAU060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023),
Самара-группа станций (ст. отправления)","Самара-группа
станций",720,50021400,20,"0,03",69461,69474,69481,69474,69459,69481,11
124,A695SER060C,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, БП
Северо-Запад (ст. назначения)",БП Северо-Запад,-,-,-,-,-,-,-,76700,-,-,-
125,A695SLS005A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Сальская (самовывоз автотранспортом)",НБ Сальская,-,-,-,-,-,-,-,-,80500,-,-
126,A695SSI060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023),
Саратов-группа станций (ст. отправления)","Саратов-группа
станций",300,21392460,16,"0,02",71299,71308,71314,71308,71298,71315,5
127,A695STI060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Стенькино II (ст. отправления)",ст. Стенькино II,960,69350220,23,"0,03",72224,72240,72246,72240,72222,72247,11
